==================================================
BRANPY MODEL — TREINO DO ZERO
Tamanho: small | Epochs: 20 | LR: 0.0003
Max len: 256 | Vocab: 8000
==================================================

[1/6] Gerando corpus proprio...
  444 linhas geradas

[2/6] Treinando tokenizer BPE proprio...
[Tokenizer] Treinando BPE com vocab_size=8000
[Tokenizer] Corpus: 444 textos
[Tokenizer] Vocab final: 607 tokens
[Tokenizer] Salvo em weights/bran9bpy_scratch\tokenizer.json
  Vocab final: 607 tokens

[3/6] Criando modelo transformer do zero...
[Model] BranPy-5.0M — 6 layers, 256d, 8h
  Parametros: 5,025,536 (5.03M)

[4/6] Preparando dataset...
  444 exemplos, 111 batches

[5/6] Treinando...
  Step 670/2220 (30.2%) | Loss: 1.6452 | Tempo: 1.1s | ETA: 31min
  Step 680/2220 (30.6%) | Loss: 1.1680 | Tempo: 1.1s | ETA: 30min
  Step 690/2220 (31.1%) | Loss: 1.5252 | Tempo: 1.2s | ETA: 30min
  Step 700/2220 (31.5%) | Loss: 0.9661 | Tempo: 1.1s | ETA: 30min
  Step 710/2220 (32.0%) | Loss: 1.2511 | Tempo: 1.0s | ETA: 30min
  Step 720/2220 (32.4%) | Loss: 1.1822 | Tempo: 0.8s | ETA: 29min
  Step 730/2220 (32.9%) | Loss: 0.8174 | Tempo: 0.9s | ETA: 29min
  Step 740/2220 (33.3%) | Loss: 1.5409 | Tempo: 0.8s | ETA: 29min
  Step 750/2220 (33.8%) | Loss: 0.6464 | Tempo: 1.1s | ETA: 29min
  Step 760/2220 (34.2%) | Loss: 1.3263 | Tempo: 0.8s | ETA: 28min
  Step 770/2220 (34.7%) | Loss: 0.8080 | Tempo: 0.8s | ETA: 28min

  Epoch 7/20 | Loss media: 1.0787 | Melhor: 0.5911 | Tempo: 14.9min
  Checkpoint salvo: weights/bran9bpy_scratch\model_epoch7.pt
  Step 780/2220 (35.1%) | Loss: 0.7109 | Tempo: 0.9s | ETA: 28min
  Step 790/2220 (35.6%) | Loss: 0.9613 | Tempo: 0.9s | ETA: 27min
  Step 800/2220 (36.0%) | Loss: 0.6827 | Tempo: 0.8s | ETA: 27min
  Step 810/2220 (36.5%) | Loss: 0.9593 | Tempo: 0.8s | ETA: 27min
  Step 820/2220 (36.9%) | Loss: 1.3076 | Tempo: 0.9s | ETA: 27min
  Step 830/2220 (37.4%) | Loss: 1.3037 | Tempo: 0.9s | ETA: 26min
  Step 840/2220 (37.8%) | Loss: 0.7236 | Tempo: 0.8s | ETA: 26min
  Step 850/2220 (38.3%) | Loss: 1.1947 | Tempo: 0.9s | ETA: 26min
  Step 860/2220 (38.7%) | Loss: 0.5205 | Tempo: 0.8s | ETA: 25min
  Step 870/2220 (39.2%) | Loss: 0.9159 | Tempo: 0.8s | ETA: 25min
  Step 880/2220 (39.6%) | Loss: 1.1243 | Tempo: 0.8s | ETA: 25min

  Epoch 8/20 | Loss media: 0.9877 | Melhor: 0.5205 | Tempo: 16.6min
  Checkpoint salvo: weights/bran9bpy_scratch\model_epoch8.pt
  Step 890/2220 (40.1%) | Loss: 0.7690 | Tempo: 1.0s | ETA: 25min
  Step 900/2220 (40.5%) | Loss: 1.4709 | Tempo: 1.0s | ETA: 25min
  Step 910/2220 (41.0%) | Loss: 0.7317 | Tempo: 0.9s | ETA: 24min
  Step 920/2220 (41.4%) | Loss: 0.8278 | Tempo: 0.9s | ETA: 24min
  Step 930/2220 (41.9%) | Loss: 0.6335 | Tempo: 0.9s | ETA: 24min
  Step 940/2220 (42.3%) | Loss: 0.5092 | Tempo: 0.9s | ETA: 24min
  Step 950/2220 (42.8%) | Loss: 0.6189 | Tempo: 1.1s | ETA: 23min
  Step 960/2220 (43.2%) | Loss: 0.9101 | Tempo: 0.8s | ETA: 23min
  Step 970/2220 (43.7%) | Loss: 0.6610 | Tempo: 0.8s | ETA: 23min
  Step 980/2220 (44.1%) | Loss: 0.8952 | Tempo: 0.8s | ETA: 23min
  Step 990/2220 (44.6%) | Loss: 0.9057 | Tempo: 0.9s | ETA: 22min

  Epoch 9/20 | Loss media: 0.8858 | Melhor: 0.4791 | Tempo: 18.2min
  Checkpoint salvo: weights/bran9bpy_scratch\model_epoch9.pt
  Step 1000/2220 (45.0%) | Loss: 0.7183 | Tempo: 0.9s | ETA: 22min
  Step 1010/2220 (45.5%) | Loss: 1.0646 | Tempo: 0.9s | ETA: 22min
  Step 1020/2220 (45.9%) | Loss: 0.7919 | Tempo: 0.8s | ETA: 22min
  Step 1030/2220 (46.4%) | Loss: 0.8690 | Tempo: 0.9s | ETA: 22min
  Step 1040/2220 (46.8%) | Loss: 0.8459 | Tempo: 1.0s | ETA: 21min
  Step 1050/2220 (47.3%) | Loss: 0.4620 | Tempo: 0.7s | ETA: 21min
  Step 1060/2220 (47.7%) | Loss: 1.2993 | Tempo: 0.8s | ETA: 21min
  Step 1070/2220 (48.2%) | Loss: 0.6165 | Tempo: 0.9s | ETA: 21min
  Step 1080/2220 (48.6%) | Loss: 0.8100 | Tempo: 0.9s | ETA: 20min
  Step 1090/2220 (49.1%) | Loss: 0.8748 | Tempo: 1.0s | ETA: 20min
