============================================================
BRANPY AI — TREINO V2 (BPE Tokenizer)
============================================================
Tokenizador carregado: 16000 tokens
Pares Q/A únicos: 25645
Treino: 23080 | Validação: 2565
Dataset: 23080 exemplos, max_len=256
Batches por época: 2885
Modelo: 16.9M parâmetros, vocab=16000, d=384, layers=6, heads=6

Treinando 30 épocas...
============================================================
[6/30] 100/2885 | Loss: 2.1706 | ETA: 122.8min
[6/30] 200/2885 | Loss: 1.0141 | ETA: 118.7min
[6/30] 300/2885 | Loss: 0.9988 | ETA: 4206.6min
[6/30] 400/2885 | Loss: 1.5327 | ETA: 3065.9min
[6/30] 500/2885 | Loss: 2.6355 | ETA: 2376.4min
[6/30] 600/2885 | Loss: 0.9450 | ETA: 1915.1min
[6/30] 700/2885 | Loss: 3.3910 | ETA: 1583.9min
[6/30] 800/2885 | Loss: 2.2194 | ETA: 1334.4min
[6/30] 900/2885 | Loss: 1.0124 | ETA: 1139.2min
[6/30] 1000/2885 | Loss: 1.4933 | ETA: 982.1min
[6/30] 1100/2885 | Loss: 1.7039 | ETA: 852.8min
[6/30] 1200/2885 | Loss: 3.1461 | ETA: 744.2min
[6/30] 1300/2885 | Loss: 1.0421 | ETA: 651.7min
[6/30] 1400/2885 | Loss: 1.8113 | ETA: 571.7min
[6/30] 1500/2885 | Loss: 0.9424 | ETA: 501.7min
[6/30] 1600/2885 | Loss: 1.0577 | ETA: 440.0min
[6/30] 1700/2885 | Loss: 3.4061 | ETA: 385.0min
[6/30] 1800/2885 | Loss: 2.4885 | ETA: 335.7min
[6/30] 1900/2885 | Loss: 1.0906 | ETA: 291.0min
[6/30] 2000/2885 | Loss: 2.3652 | ETA: 250.3min
[6/30] 2100/2885 | Loss: 1.0598 | ETA: 213.1min
[6/30] 2200/2885 | Loss: 0.9139 | ETA: 178.8min
[6/30] 2300/2885 | Loss: 2.6224 | ETA: 147.2min
[6/30] 2400/2885 | Loss: 2.0653 | ETA: 117.8min
[6/30] 2500/2885 | Loss: 2.8269 | ETA: 90.4min
[6/30] 2600/2885 | Loss: 1.1844 | ETA: 64.8min
[6/30] 2700/2885 | Loss: 2.8733 | ETA: 40.7min
[6/30] 2800/2885 | Loss: 3.3592 | ETA: 18.1min

Época 6 | Loss: 1.8399 | Tempo: 606.2min
  Teste: o que e inteligencia artificial -> P : o que e inteligencia artificial R : M Computers causado causado concentração concentração concentração concentração 
  Best Loss: 1.6853

[7/30] 0/2885 | Loss: 1.7207 | ETA: 0.0min
[7/30] 100/2885 | Loss: 2.0296 | ETA: 126.1min
[7/30] 200/2885 | Loss: 0.9452 | ETA: 121.9min
[7/30] 300/2885 | Loss: 1.4379 | ETA: 117.5min
[7/30] 400/2885 | Loss: 1.3503 | ETA: 112.8min
[7/30] 500/2885 | Loss: 1.9719 | ETA: 110.8min
[7/30] 600/2885 | Loss: 1.9522 | ETA: 109.3min
[7/30] 700/2885 | Loss: 2.7099 | ETA: 103.6min
[7/30] 800/2885 | Loss: 1.0002 | ETA: 98.1min
[7/30] 900/2885 | Loss: 3.2173 | ETA: 93.0min
[7/30] 1000/2885 | Loss: 1.0892 | ETA: 87.9min
[7/30] 1100/2885 | Loss: 0.9831 | ETA: 82.9min
[7/30] 1200/2885 | Loss: 1.1729 | ETA: 78.0min
[7/30] 1300/2885 | Loss: 0.9320 | ETA: 73.1min
[7/30] 1400/2885 | Loss: 1.0793 | ETA: 68.4min
[7/30] 1500/2885 | Loss: 3.7320 | ETA: 63.6min
[7/30] 1600/2885 | Loss: 2.1451 | ETA: 59.0min
[7/30] 1700/2885 | Loss: 1.3656 | ETA: 54.3min
[7/30] 1800/2885 | Loss: 3.6512 | ETA: 49.6min
[7/30] 1900/2885 | Loss: 3.1037 | ETA: 45.0min
[7/30] 2000/2885 | Loss: 1.1967 | ETA: 40.3min
[7/30] 2100/2885 | Loss: 2.3678 | ETA: 35.7min
[7/30] 2200/2885 | Loss: 2.2790 | ETA: 31.1min
[7/30] 2300/2885 | Loss: 2.1500 | ETA: 26.6min
[7/30] 2400/2885 | Loss: 1.0198 | ETA: 22.0min
[7/30] 2500/2885 | Loss: 2.9748 | ETA: 17.4min
[7/30] 2600/2885 | Loss: 1.4449 | ETA: 12.9min
[7/30] 2700/2885 | Loss: 1.4847 | ETA: 8.3min
[7/30] 2800/2885 | Loss: 1.4249 | ETA: 3.8min

Época 7 | Loss: 1.7654 | Tempo: 131.2min
  Teste: o que e inteligencia artificial -> P : o que e inteligencia artificial R : P M gravitational taoísmo acordeão acordeão acordeão acordeão acordeão acordeão 
  Best Loss: 1.6853

[8/30] 0/2885 | Loss: 2.6840 | ETA: 0.0min
[8/30] 100/2885 | Loss: 1.3001 | ETA: 124.5min
[8/30] 200/2885 | Loss: 0.8691 | ETA: 120.0min
[8/30] 300/2885 | Loss: 1.4131 | ETA: 115.8min
[8/30] 400/2885 | Loss: 1.7595 | ETA: 111.2min
[8/30] 500/2885 | Loss: 1.0502 | ETA: 106.6min
[8/30] 600/2885 | Loss: 1.0028 | ETA: 101.8min
[8/30] 700/2885 | Loss: 1.2846 | ETA: 97.3min
[8/30] 800/2885 | Loss: 1.6792 | ETA: 93.0min
[8/30] 900/2885 | Loss: 0.9570 | ETA: 88.6min
[8/30] 1000/2885 | Loss: 2.5524 | ETA: 84.1min
[8/30] 1100/2885 | Loss: 1.0950 | ETA: 79.6min
[8/30] 1200/2885 | Loss: 3.1311 | ETA: 75.1min
[8/30] 1300/2885 | Loss: 2.4327 | ETA: 70.7min
[8/30] 1400/2885 | Loss: 1.6776 | ETA: 66.2min
[8/30] 1500/2885 | Loss: 3.1942 | ETA: 61.8min
[8/30] 1600/2885 | Loss: 1.7475 | ETA: 57.4min
[8/30] 1700/2885 | Loss: 2.1072 | ETA: 52.9min
[8/30] 1800/2885 | Loss: 3.0588 | ETA: 48.4min
[8/30] 1900/2885 | Loss: 1.1899 | ETA: 44.0min
[8/30] 2000/2885 | Loss: 0.9990 | ETA: 39.5min
[8/30] 2100/2885 | Loss: 1.5919 | ETA: 35.0min
[8/30] 2200/2885 | Loss: 2.0775 | ETA: 30.6min
[8/30] 2300/2885 | Loss: 2.5766 | ETA: 26.1min
[8/30] 2400/2885 | Loss: 1.2298 | ETA: 21.6min
[8/30] 2500/2885 | Loss: 0.8231 | ETA: 17.2min
[8/30] 2600/2885 | Loss: 1.4501 | ETA: 12.7min
[8/30] 2700/2885 | Loss: 1.3626 | ETA: 8.2min
[8/30] 2800/2885 | Loss: 1.2756 | ETA: 3.8min

Época 8 | Loss: 1.6911 | Tempo: 128.9min
  Teste: o que e inteligencia artificial -> P : o que e inteligencia artificial R : O j Aumenta Fí Cuide fotovoltaicos fotovoltaicos fotovoltaicos Nazismo Nazismo N
  Best Loss: 1.6853

[9/30] 0/2885 | Loss: 2.4348 | ETA: 0.0min
[9/30] 100/2885 | Loss: 1.5101 | ETA: 124.8min
[9/30] 200/2885 | Loss: 0.8619 | ETA: 120.0min
[9/30] 300/2885 | Loss: 0.9663 | ETA: 114.9min
[9/30] 400/2885 | Loss: 2.0344 | ETA: 110.2min
[9/30] 500/2885 | Loss: 0.9671 | ETA: 105.7min
[9/30] 600/2885 | Loss: 0.9938 | ETA: 101.0min
[9/30] 700/2885 | Loss: 0.8638 | ETA: 96.4min
[9/30] 800/2885 | Loss: 0.9953 | ETA: 2408.5min
[9/30] 900/2885 | Loss: 0.9662 | ETA: 2048.3min
[9/30] 1000/2885 | Loss: 1.9097 | ETA: 1759.0min
[9/30] 1100/2885 | Loss: 0.9603 | ETA: 1521.5min
[9/30] 1200/2885 | Loss: 1.9924 | ETA: 1323.2min
[9/30] 1300/2885 | Loss: 1.2360 | ETA: 1154.3min
[9/30] 1400/2885 | Loss: 3.1020 | ETA: 1009.0min
[9/30] 1500/2885 | Loss: 1.0630 | ETA: 903.8min
[9/30] 1600/2885 | Loss: 0.8906 | ETA: 789.7min
[9/30] 1700/2885 | Loss: 3.4748 | ETA: 688.5min
[9/30] 1800/2885 | Loss: 2.0464 | ETA: 598.0min
[9/30] 1900/2885 | Loss: 1.6171 | ETA: 516.6min
[9/30] 2000/2885 | Loss: 0.8547 | ETA: 442.8min
[9/30] 2100/2885 | Loss: 1.2788 | ETA: 375.7min
[9/30] 2200/2885 | Loss: 1.0813 | ETA: 314.5min
[9/30] 2300/2885 | Loss: 3.0537 | ETA: 258.0min
[9/30] 2400/2885 | Loss: 1.5321 | ETA: 205.8min
[9/30] 2500/2885 | Loss: 1.3035 | ETA: 157.4min
[9/30] 2600/2885 | Loss: 2.3838 | ETA: 112.4min
[9/30] 2700/2885 | Loss: 2.9116 | ETA: 70.4min
[9/30] 2800/2885 | Loss: 1.0006 | ETA: 31.1min

Época 9 | Loss: 1.6341 | Tempo: 1082.5min
  Teste: o que e inteligencia artificial -> P : o que e inteligencia artificial R : O otra elétrico elétrico elétrico elétrico M N fixo M M M = lendo M M M M M M M 
  Best Loss: 1.6341

[10/30] 0/2885 | Loss: 1.4662 | ETA: 0.0min
[10/30] 100/2885 | Loss: 1.2773 | ETA: 123.8min
[10/30] 200/2885 | Loss: 0.8175 | ETA: 119.2min
[10/30] 300/2885 | Loss: 0.8494 | ETA: 114.7min
[10/30] 400/2885 | Loss: 2.2639 | ETA: 110.9min
[10/30] 500/2885 | Loss: 1.3318 | ETA: 106.2min
[10/30] 600/2885 | Loss: 1.2072 | ETA: 101.5min
[10/30] 700/2885 | Loss: 1.8050 | ETA: 96.9min
[10/30] 800/2885 | Loss: 2.2682 | ETA: 92.3min
[10/30] 900/2885 | Loss: 1.3533 | ETA: 88.0min
[10/30] 1000/2885 | Loss: 1.5859 | ETA: 83.8min
[10/30] 1100/2885 | Loss: 1.7943 | ETA: 79.5min
[10/30] 1200/2885 | Loss: 0.9979 | ETA: 75.7min
[10/30] 1300/2885 | Loss: 1.1528 | ETA: 72.1min
[10/30] 1400/2885 | Loss: 1.9229 | ETA: 68.5min
[10/30] 1500/2885 | Loss: 2.3407 | ETA: 64.6min
[10/30] 1600/2885 | Loss: 2.3358 | ETA: 60.4min
[10/30] 1700/2885 | Loss: 2.1791 | ETA: 55.7min
[10/30] 1800/2885 | Loss: 3.6705 | ETA: 50.8min
[10/30] 1900/2885 | Loss: 0.8724 | ETA: 45.9min
[10/30] 2000/2885 | Loss: 1.1131 | ETA: 41.1min
[10/30] 2100/2885 | Loss: 1.4727 | ETA: 36.9min
[10/30] 2200/2885 | Loss: 0.8763 | ETA: 32.1min
[10/30] 2300/2885 | Loss: 1.0608 | ETA: 27.4min
[10/30] 2400/2885 | Loss: 2.0808 | ETA: 23.3min
[10/30] 2500/2885 | Loss: 0.9211 | ETA: 18.9min
[10/30] 2600/2885 | Loss: 0.9650 | ETA: 14.1min
[10/30] 2700/2885 | Loss: 0.9117 | ETA: 9.2min
[10/30] 2800/2885 | Loss: 2.0442 | ETA: 4.3min

Época 10 | Loss: 1.5667 | Tempo: 146.5min
  Teste: o que e inteligencia artificial -> P : o que e inteligencia artificial R : fuse fotovoltaicos Amazônica Amazônica M M calenta calenta SEO SEO SEO SEO ated 
  Best Loss: 1.5667

[11/30] 0/2885 | Loss: 2.2985 | ETA: 0.0min
[11/30] 100/2885 | Loss: 2.0270 | ETA: 125.3min
[11/30] 200/2885 | Loss: 1.1180 | ETA: 120.3min
[11/30] 300/2885 | Loss: 0.7835 | ETA: 116.3min
[11/30] 400/2885 | Loss: 0.9721 | ETA: 118.2min
[11/30] 500/2885 | Loss: 0.9417 | ETA: 112.2min
[11/30] 600/2885 | Loss: 2.2110 | ETA: 106.7min
[11/30] 700/2885 | Loss: 0.7762 | ETA: 101.6min
[11/30] 800/2885 | Loss: 1.0557 | ETA: 96.6min
[11/30] 900/2885 | Loss: 0.9418 | ETA: 91.6min
[11/30] 1000/2885 | Loss: 1.3716 | ETA: 86.7min
[11/30] 1100/2885 | Loss: 1.2523 | ETA: 82.0min
[11/30] 1200/2885 | Loss: 2.0681 | ETA: 77.3min
[11/30] 1300/2885 | Loss: 0.8222 | ETA: 72.5min
[11/30] 1400/2885 | Loss: 1.0952 | ETA: 67.7min
[11/30] 1500/2885 | Loss: 0.8749 | ETA: 63.0min
[11/30] 1600/2885 | Loss: 1.1435 | ETA: 58.3min
[11/30] 1700/2885 | Loss: 2.1810 | ETA: 70.9min
[11/30] 1800/2885 | Loss: 2.0547 | ETA: 64.0min
[11/30] 1900/2885 | Loss: 0.8812 | ETA: 57.3min
[11/30] 2000/2885 | Loss: 1.0272 | ETA: 51.0min
[11/30] 2100/2885 | Loss: 0.8346 | ETA: 44.8min
[11/30] 2200/2885 | Loss: 2.4412 | ETA: 39.0min
[11/30] 2300/2885 | Loss: 1.5463 | ETA: 33.1min
[11/30] 2400/2885 | Loss: 3.3314 | ETA: 27.4min
[11/30] 2500/2885 | Loss: 2.0371 | ETA: 22.0min
[11/30] 2600/2885 | Loss: 1.8452 | ETA: 16.2min
[11/30] 2700/2885 | Loss: 1.9747 | ETA: 10.4min
[11/30] 2800/2885 | Loss: 3.2113 | ETA: 4.7min

Época 11 | Loss: 1.5077 | Tempo: 161.5min
  Teste: o que e inteligencia artificial -> P : o que e inteligencia artificial R : M Exército tima tima tima trabalhadores trabalhadores trabalhadores trabalhadore
  Best Loss: 1.5077

[12/30] 0/2885 | Loss: 0.9808 | ETA: 0.0min
[12/30] 100/2885 | Loss: 0.8127 | ETA: 123.2min
[12/30] 200/2885 | Loss: 0.9205 | ETA: 118.0min
[12/30] 300/2885 | Loss: 1.1101 | ETA: 113.7min
[12/30] 400/2885 | Loss: 0.8235 | ETA: 109.0min
[12/30] 500/2885 | Loss: 2.8249 | ETA: 104.7min
[12/30] 600/2885 | Loss: 1.9067 | ETA: 599.2min
